2025-08-16 15:48:43 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1440 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-08-16 15:58:03 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1472 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-08-16 16:15:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:219 | Error streaming audio to WebSocket: 
2025-08-16 16:15:33 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1472 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-16 16:15:34 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1487 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-16 16:59:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:234 | Error streaming audio to WebSocket: 
2025-08-16 16:59:41 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:234 | Error streaming audio to WebSocket: Cannot call "send" once a close message has been sent.
2025-08-16 16:59:41 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1547 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-16 16:59:42 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1562 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-16 17:28:08 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1602 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-08-16 17:57:49 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:234 | Error streaming audio to WebSocket: 
2025-08-16 17:57:54 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:234 | Error streaming audio to WebSocket: Cannot call "send" once a close message has been sent.
2025-08-16 17:57:54 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1796 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-16 17:57:55 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1811 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 27: 
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 28: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 29: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 30: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 31: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 32: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 33: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 34: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 35: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:28 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 36: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:29 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 37: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:29 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 38: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:29 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 39: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:32 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 1: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:32 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 2: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:32 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 3: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 4: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 5: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 6: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 7: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 8: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 9: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 10: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 11: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 12: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:33 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 13: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 14: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 15: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 16: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 17: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 18: Cannot call "send" once a close message has been sent.
